title,url,author,year,narrative,social,personal,service,ambient,art
World Data Crystals, http://kildall.com/blog/?p=2024,Scott Kildall,2014,,,,,,y
One Human Heart,http://onehumanheartbeat.com/,Jen Lowe,2014,,,,,,y
Wordle,http://www.wordle.net/,Jonathan Feinberg,2008,,y,y,,y,
Osama Bin Laden Killing,http://www.nytimes.com/interactive/2011/05/03/us/20110503-osama-response.html?hp,Jon Huang and Aron Pilhofer,2011,,y,,,,
FitBit Dashboard,fitbit.com,,2013,,y,y,y,,
Twitter Happy New Year,http://twitter.github.io/interactive/newyear2014/,Krist Wongsuphasawat,2014,,y,,,,
Enigma Data Service,http://enigma.io/,Enigma,2012,,,,y,,
Variance Graph Generator,https://variancecharts.com/index.html,Variance,2014,,,,y,,
Query Count,http://www.wordcount.org/querycount.php,Jonathan Harris,2003,,y,,,,y
Motorcycle Helmet Laws,http://www.nytimes.com/interactive/2014/03/31/science/motorcycle-helmet-laws.html,Alastair Dant and Hannah Fairfield,2014,y,,,,,
Future Advisor Recommendations,https://www.futureadvisor.com/signup,FutureAdvisor,2014,y,,y,y,,
hGraph,http://hgraph.org/,Involution Studios,2013,,,y,y,,
#WeAreHere,http://www.idfblog.com/2014/04/28/wearehere-interactive-worldwide-map-holocaust-survivors-family/,Israel Defense Force,2014,,y,,,,
What Happened to Flight 370?,http://www.washingtonpost.com/wp-srv/special/world/what-happened-to-flight-MH370/,"BONNIE BERKOWITZ, DARLA CAMERON, ALBERTO CUADRA, KAT DOWNS, RICHARD JOHNSON AND LARIS KARKLIS.",2014,y,,,,,
Global Rich List,http://www.globalrichlist.com/,Poke,2014,y,,y, ,,
Create a Custom Map of Your Travels,http://www.theguardian.com/travel/ng-interactive/2014/create-a-custom-map-of-your-travels,The Guardian,2014,,y,y,,,
